segment,exchange,symbol,scrip_name,isin,min_date,max_date
EQ,NSE,BHAGERIA,Bhageria Industries Ltd,INE354C01027,2020-05-05,2020-06-14
EQ,NSE,BPCL,BHARAT PETROLEUM CORPORATION LTD.,INE029A01011,2021-08-06,2022-08-09
EQ,NSE,GOLDBEES,NIPPON INDIA ETF GOLD BEES,INF204KB17I5,2021-02-09,2021-06-03
EQ,NSE,HERANBA,Heranba Industries Ltd,INE694N01015,2021-03-04,2021-03-08
EQ,NSE,IDEA,Vodafone Idea Ltd,INE669E01016,2020-07-29,2021-06-13
EQ,NSE,INFY,INFOSYS LTD.,INE009A01021,2021-04-12,2021-06-13
EQ,NSE,IRCTC,Indian Railway Catering and Tourism Corporation Ltd,INE335Y01020,2024-06-04,2024-08-20
EQ,NSE,KPITTECH,KPIT Technologies Ltd,INE04I401011,2024-06-13,2024-08-20
EQ,NSE,LICI,Life Insurance Corporation of India,INE0J1Y01017,2022-05-13,2022-08-09
EQ,NSE,NIFTYBEES,Nippon India ETF Nifty 50 BeES,INF204KB14I2,2021-02-09,2021-06-13
EQ,NSE,PNB,PUNJAB NATIONAL BANK,INE160A01022,2020-07-29,2021-06-13
EQ,NSE,SBIN,STATE BANK OF INDIA,INE062A01020,2021-05-10,2021-06-03
EQ,NSE,TATACHEM,TATA CHEMICALS LTD.,INE092A01019,2021-06-15,2022-08-09
EQ,NSE,TATAMOTORS,TATA MOTORS LTD.,INE155A01022,2020-04-21,2024-08-20
EQ,NSE,TATAPOWER,TATA POWER CO.LTD.,INE245A01021,2021-02-08,2024-08-20
EQ,NSE,VOLTAS,VOLTAS LTD.,INE226A01021,2021-06-15,2022-08-09
EQ,NSE,YESBANK,YES BANK LTD.,INE528G01035,2020-07-27,2021-11-09
MF,BMF,MIRAE-ASSET-ELSS-TAX-SAVER-FUND-DIRECT-GROWTH,Mirae Asset ELSS Tax Saver Fund Direct Growth (0P00017844),INF769K01DM9,2024-05-24,2024-08-20
MF,BMF,SBI-LONG-TERM-EQUITY-FUND-DIRECT-PLAN-GROWTH,SBI Long Term Equity Fund Direct Growth (0P0000XVL9),INF200K01UM9,2024-05-24,2024-08-20
