date,exchange,segment,debit_amount,credit_amount,bill_number
2020-04-21,NSE,EQ,1052.56,0.0,50792
2020-05-04,NSE,EQ,419.06,0.0,51857
2020-05-05,NSE,EQ,1166.68,0.0,45047
2020-05-19,NSE,EQ,501.08,0.0,37907
2020-06-15,NSE,EQ,0.0,1670.92,40777
2020-07-03,NSE,EQ,1562.3,0.0,41287
2020-07-27,NSE,EQ,1231.06,0.0,59905
2020-07-29,NSE,EQ,1742.08,0.0,37622
2020-07-30,NSE,EQ,397.52,0.0,35125
2021-02-08,NSE,EQ,6487.27,0.0,32498
2021-02-09,NSE,EQ,246.18,0.0,30999
2021-02-22,NSE,EQ,2973.13,0.0,31198
2021-03-05,NSE,EQ,0.0,9807.76,32699
2021-03-09,NSE,EQ,0.0,8493.82,27454
2021-04-12,NSE,EQ,19166.36,0.0,34619
2021-05-10,NSE,EQ,5116.23,0.0,31840
2021-06-04,NSE,EQ,0.0,6138.13,30394
2021-06-14,NSE,EQ,0.0,13642.06,32369
2021-06-15,NSE,EQ,19282.81,0.0,29462
2021-08-06,NSE,EQ,19674.83,0.0,23446
2021-11-10,NSE,EQ,0.0,1926.08,43245
2022-05-11,NSE,EQ,29819.26,0.0,104137
2022-05-13,NSE,EQ,13560.0,0.0,78527
2022-08-10,NSE,EQ,0.0,53158.26,106783
2024-05-24,BMF,MF,2000.0,0.0,4918109
2024-06-04,NSE,EQ,2691.72,0.0,51991
2024-06-13,NSE,EQ,3003.13,0.0,27301
2024-06-13,FON,FO,0.0,22.51,73800
2024-06-14,FON,FO,0.0,29.56,61323
2024-06-18,FON,FO,0.0,338.28,64611
2024-06-19,FON,FO,0.0,900.08,80034
2024-06-20,FON,FO,887.53,0.0,80632
2024-06-21,FON,FO,0.0,2527.51,67974
2024-06-24,FON,FO,0.0,259.85,69170
2024-06-25,FON,FO,0.0,139.77,77916
2024-06-26,FON,FO,11010.54,0.0,77019
2024-06-27,FON,FO,0.0,17523.91,81345
2024-06-28,FON,FO,0.0,1148.88,36307
2024-07-01,FON,FO,0.0,798.94,65385
2024-07-02,FON,FO,0.0,2199.36,55875
2024-07-02,BMF,MF,2000.0,0.0,5349602
2024-07-03,FON,FO,5218.83,0.0,38434
2024-07-04,FON,FO,0.0,17.79,40256
2024-07-05,FON,FO,0.0,2135.99,62271
2024-07-08,FON,FO,12030.68,0.0,47052
2024-07-09,FON,FO,0.0,18283.34,37207
2024-07-10,FON,FO,0.0,1608.83,35585
2024-07-11,FON,FO,5689.72,0.0,29181
2024-07-15,FON,FO,33.02,0.0,32444
2024-07-16,FON,FO,7439.07,0.0,64398
2024-07-18,FON,FO,0.0,11916.27,34504
2024-07-22,FON,FO,0.0,26.15,39393
2024-07-23,FON,FO,9714.99,0.0,36793
